,Name,fp,fp_per_game
416,Zach Davies,15.75,1.96875
417,Hector Neris,80.33,3.2132
418,Trevor Gott,13.83,0.8135294117647058
419,Yacksel Rios,44.0,2.4444444444444446
420,Odrisamer Despaigne,31.33,2.848181818181818
421,Felix Hernandez,90.32999999999998,6.948461538461538
422,Cody Reed,7.25,1.8125
423,Luke Bard,12.16,1.52
424,Jake Petricka,3.83,0.4255555555555556
425,Jerry Blevins,38.83,1.4934615384615384
426,Domingo German,17.83,1.783
427,Lance Lynn,54.0,4.909090909090909
428,Jake Faria,42.91,4.2909999999999995
429,Sonny Gray,54.41,4.946363636363636
430,Joe Smith,50.0,2.380952380952381
431,Danny Farquhar,25.5,3.1875
432,Luis Castillo,57.75,4.4423076923076925
433,Marco Estrada,19.909999999999997,1.8099999999999996
434,Jon Gray,79.75,6.645833333333333
435,Daniel Hudson,11.75,0.7833333333333333
436,Daniel Stumpf,50.58,1.8064285714285713
437,Mike Minor,61.83,5.620909090909091
438,Matt Harvey,20.58,1.583076923076923
439,Ryan Dull,35.0,2.3333333333333335
440,Danny Duffy,23.659999999999997,1.8199999999999998
441,Matt Bowman,44.25,2.6029411764705883
442,Pierce Johnson,39.58,1.7208695652173913
443,Daniel Norris,2.83,0.5660000000000001
444,Tayron Guerrero,52.25,1.8017241379310345
445,Kevin Jepsen,8.41,0.4004761904761905
446,Sergio Romo,55.91,2.2363999999999997
447,Josh Ravin,-5.5,-2.75
448,Sal Romano,20.25,1.6875
449,Ben Taylor,8.0,1.3333333333333333
450,Neil Ramirez,12.75,1.8214285714285714
451,Brandon Woodruff,35.83,4.47875
452,Ian Kennedy,18.659999999999997,1.5549999999999997
453,Jaime Garcia,29.08,2.908
454,Michael Feliz,90.16,3.339259259259259
455,Wei-Yin Chen,8.75,1.25
456,Boone Logan,13.079999999999998,1.189090909090909
457,Tyler Olson,53.0,2.12
458,Rich Hill,14.659999999999997,2.443333333333333
459,Antonio Senzatela,22.58,2.258
460,Dillon Peters,15.909999999999997,2.651666666666666
461,Shane Bieber,5.16,5.16
462,Jacob Rhame,19.33,1.757272727272727
463,Ryan Sherriff,9.16,1.832
464,Mike Wright,17.66,1.2614285714285713
465,Ryan Carpenter,-1.0899999999999999,-0.27249999999999996
466,Tyler Lyons,81.16,3.8647619047619046
467,AJ Ramos,74.41,2.6574999999999998
468,Chris O'Grady,-2.75,-0.34375
469,Brett Cecil,-4.5,-0.4090909090909091
470,Zach McAllister,22.83,0.9512499999999999
471,Deck McGuire,4.58,1.145
472,Burch Smith,27.33,1.6076470588235292
473,Buck Farmer,64.08,2.2885714285714287
474,Bryan Mitchell,-14.840000000000003,-1.3490909090909093
475,Carlos Torres,7.91,0.791
476,Austin Bibens-Dirkx,3.25,1.625
477,Kazuhisa Makita,19.5,1.0263157894736843
478,Jeff Samardzija,-0.5900000000000034,-0.07375000000000043
479,Bryan Shaw,82.16,2.5675
480,Pedro Araujo,11.75,0.618421052631579
481,Homer Bailey,-14.75,-1.2291666666666667
482,Eric Skoglund,9.909999999999997,1.1011111111111107
483,David Hale,4.25,1.4166666666666667
484,Akeel Morris,1.08,0.18000000000000002
485,A.J. Cole,27.83,2.783
486,Phil Hughes,7.16,0.716
487,Luke Sims,6.08,1.216
488,Alan Busenitz,14.0,3.5
489,Evan Marshall,24.66,2.74
490,Alex Cobb,-21.67,-2.407777777777778
491,Drew Pomeranz,13.75,1.71875
492,Eric Lauer,19.08,2.385
493,Ben Lively,1.6600000000000001,0.332
494,Luiz Gohara,9.16,1.832
495,Nick Goody,7.91,0.6591666666666667
496,Dan Otero,20.91,0.9957142857142858
497,Derek Law,7.0,1.75
498,Tommy Kahnle,26.5,3.3125
499,Jake Thompson,14.16,4.72
500,Joe Biagini,-17.17,-2.4528571428571433
501,Pat Venditte,3.41,0.8525
502,Brandon Finnegan,-15.59,-3.118
503,Josh Tomlin,-14.170000000000002,-1.1808333333333334
504,Chris Rusin,19.0,1.0555555555555556
505,Enny Romero,2.0,0.5
506,Lucas Giolito,-2.5,-0.22727272727272727
507,Kendall Graveman,-6.170000000000002,-0.8814285714285717
508,Brett Anderson,-10.920000000000002,-2.7300000000000004
509,Roberto Gomez,12.829999999999998,2.566
510,Marcus Stroman,-13.170000000000002,-1.8814285714285717
511,Eduardo Paredes,2.83,0.4042857142857143
512,Ariel Jurado,-6.34,-6.34
513,Nestor Cortes,-0.8399999999999999,-0.20999999999999996
514,Hoby Milner,1.1600000000000001,0.11600000000000002
515,Oliver Drake,17.08,1.0675
516,Brooks Pounders,-0.9199999999999999,-0.10222222222222221
517,Matt Moore,-5.25,-0.4772727272727273
518,Kevin Shackelford,-6.75,-1.35
519,Brad Ziegler,44.75,1.79
520,Gregory Infante,2.0,0.2
521,Mike Dunn,39.16,1.8647619047619046
522,Carson Fulmer,5.079999999999998,0.5644444444444443
523,Tyler Beede,-2.59,-1.295
524,Josh Osich,14.5,1.2083333333333333
525,Luis Perdomo,3.5,0.875
526,Jason Vargas,9.329999999999998,1.5549999999999997
527,Chad Bell,-3.67,-1.2233333333333334
528,Tyler Duffey,-4.42,-0.884
529,Luke Gregerson,19.83,1.6524999999999999
530,Cliff Pennington,-0.25,-0.25
531,Pedro Florimon,-0.75,-0.375
532,Rex Brothers,-2.0,-2.0
533,Zach Neal,-0.5,-0.5
534,Taylor Motter,0.25,0.25
535,Junichi Tazawa,27.0,1.2272727272727273
536,Josh Smoker,-6.25,-1.25
537,Liam Hendriks,-2.25,-0.375
538,Drew VerHagen,-10.09,-1.009
539,Marc Rzepczynski,14.41,0.8005555555555556
540,Greg Holland,-14.170000000000002,-0.7872222222222223
541,JC Ramirez,-13.59,-6.795
542,Zac Reininger,-3.59,-0.8975
543,Martin Perez,-4.920000000000002,-0.9840000000000003
544,Andrew Kittredge,-4.34,-0.33384615384615385
545,Walker Lockett,-7.84,-7.84
546,Tyler Cloyd,-3.92,-0.6533333333333333
547,Casey Lawrence,1.5,0.375
548,Felix Pena,0.41000000000000014,0.20500000000000007
549,Chih-Wei Hu,0.41000000000000014,0.41000000000000014
550,Erasmo Ramirez,-11.34,-5.67
551,D.J. Snelten,-0.41999999999999993,-0.10499999999999998
552,Chris Tillman,-31.340000000000003,-4.477142857142858
553,Wilmer Font,-15.0,-1.1538461538461537
554,Miguel Socolovich,-6.0,-1.5
555,Dovydas Neverauskas,8.41,1.2014285714285715
556,Trevor Oaks,-7.59,-3.795
557,Gabriel Moya,2.5,0.5
558,Juan Minaya,-0.9199999999999999,-0.184
559,Kevin Quackenbush,-7.75,-0.775
560,P.J. Conlon,-3.34,-1.67
561,Jeff Beliveau,4.41,0.49
562,Blaine Boyer,28.409999999999997,1.4204999999999999
563,Dennis Santana,9.66,9.66
564,Miguel Gonzalez,-26.67,-8.89
565,Brandon Maurer,-17.17,-3.434
566,Gerson Bautista,-9.17,-1.834
567,Jose Valdez,-0.5,-0.125
568,Tyler Webb,-7.0,-1.75
569,Chris Flexen,-3.5,-3.5
570,Jen-Ho Tseng,1.0,1.0
571,Tanner Rainey,-2.5,-0.4166666666666667
572,Luke Jackson,0.5800000000000001,0.29000000000000004
573,Ryan LaMarre,-0.59,-0.59
574,Jimmy Yacabonis,-4.42,-2.21
575,Kris Medlen,-9.25,-9.25
576,Jacob Turner,-8.09,-2.0225
577,Jose Ramirez,-17.92,-2.56
578,Alexi Ogando,-8.0,-8.0
579,Chase Whitley,-1.0,-1.0
580,J.J. Hoover,-12.67,-6.335
581,Justin Grimm,-7.0,-0.7
582,Eric Stout,-4.42,-1.4733333333333334
583,Tyler Kinley,-5.92,-1.48
584,Buddy Baumann,-21.42,-5.355
585,Ryan Weber,-1.42,-1.42
586,Yovani Gallardo,-7.67,-2.5566666666666666
587,Parker Bridwell,-6.09,-6.09
588,Luis Santos,-5.09,-5.09
589,Zack Weiss,-5.5,-5.5
590,John Curtiss,-9.34,-4.67
